state_name,county_fips,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alabama,71489,1434159,843473,2309900,590686,43.41039968914922,22.92086405088119,20.48953563826805
Arizona,60208,1606370,1626943,3292883,-20573,8.166367322594475,6.588669489693132,1.5776978329013427
Arkansas,380625,761251,420985,1216818,340266,51.68742267277019,21.09697999742831,30.590442675341894
California,351364,4634409,8979471,13898377,-4345062,24.672654969234728,32.056026026664746,-7.383371057430016
Colorado,515983,1335253,1753416,3173241,-418163,35.79791098334973,26.73093052361141,9.066980459738323
Connecticut,72064,698847,1058827,1785882,-359980,3.3926953863541653,4.465884297620282,-1.0731889112661168
Delaware,30009,199857,295413,502384,-95556,1.328320650558029,1.628992704282516,-0.30067205372448724
District of Columbia,11001,1149,29509,31260,-28360,0.036756238003838766,0.9439859245041586,-0.90722968650032
Florida,808550,5665734,5293624,11079270,372110,42.39515676558348,23.903424832003903,18.491731933579583
Georgia,2092677,2454207,2461455,4978518,-7248,101.70910887376111,55.70542436074773,46.0036845130134
Hawaii,60020,196602,365802,573854,-169200,1.3197408837209563,2.593816636344053,-1.2740757526230966
Idaho,705936,554019,286991,868258,267028,32.1335273145609,10.591212411793501,21.542314902767394
Illinois,1744404,2330734,3016834,5454018,-686100,66.07169918274063,32.86930235120651,33.202396831534124
Indiana,1664464,1727085,1239529,3033176,487556,63.28925322003524,26.785163731119773,36.50408948891545
Iowa,1890801,896500,757780,1687823,138720,63.19957456007483,34.07549547408324,29.124079085991607
Kansas,2111025,756170,551425,1342296,204745,79.0479403934215,23.772626466938476,55.27531392648306
Kentucky,2534400,1342474,777813,2157886,564661,88.86683091037257,29.33125445929317,59.53557645107936
Louisiana,1412096,1255528,855630,2147395,399898,41.383596837499,21.688700462819238,19.694896374679757
Maine,368256,340512,419309,783776,-78797,7.718910602424191,7.801889419785764,-0.08297881736157364
Maryland,577079,851784,1531619,2433721,-679835,11.980228513767756,11.530678039715358,0.4495504740523979
Massachusetts,350196,1117297,2246253,3441942,-1128956,4.337127450383421,9.347392644145373,-5.010265193761953
Michigan,2164889,2646956,2794853,5533143,-147897,49.42865161189738,32.19169420822773,17.236957403669642
Minnesota,2356569,1485634,1717937,3273857,-232303,52.457536256955386,32.75063906797454,19.706897188980847
Mississippi,2302724,683527,447162,1148432,236365,46.49141175082024,33.358425223335225,13.132986527485022
Missouri,3348537,1711848,1242851,3011076,468997,86.41953582097096,26.759284715253884,59.66025110571714
Montana,1683136,341763,243714,603220,98049,38.60606916575456,16.07742821962855,22.528640946126025
Nebraska,2891649,550231,367930,941054,182301,72.77293293781807,18.474923240943294,54.298009696874765
Nevada,544774,609901,632558,1269513,-22657,11.858674497342344,4.7095897961977435,7.149084701144598
New Hampshire,330100,365248,422284,803195,-57036,4.5863639681107875,5.232589016125328,-0.6462250480145398
New Jersey,714441,1414156,2057599,3521861,-643443,8.836782220292667,11.845332712797207,-3.0085504925045403
New Mexico,1155995,400823,497812,918943,-96989,17.57140217746892,14.773244549285986,2.798157628182935
New York,2235844,2934143,4235992,7264757,-1301849,34.50345972845517,26.30556143642465,8.197898292030507
North Carolina,3710000,2732818,2656303,5463928,76515,58.555223825297624,40.33575849994716,18.21946532535048
North Dakota,2016809,234962,114687,361279,120275,38.249133460234226,13.16827197381414,25.080861486420094
Ohio,3439744,3071959,2611377,5775208,460582,59.15399521247746,27.480937772143225,31.673057440334254
Oklahoma,3085929,1020280,503890,1560699,516390,59.93664177537295,15.61215060313629,44.32449117223668
Oregon,1477296,942737,1318475,2334762,-375738,20.405981217989492,14.537521725539552,5.868459492449947
Pennsylvania,2818489,3311310,3345724,6748778,-34414,42.59508069574069,23.441917405395643,19.153163290345045
Rhode Island,220025,197421,300325,505214,-102904,1.921239886515481,3.0014488662894587,-1.080208979773978
South Carolina,2072116,1386207,1092518,2515926,293689,24.604871886964744,20.81380826140039,3.791063625564357
South Dakota,3040485,261108,150475,422678,110633,44.46096251389922,20.16350922590024,24.297453287998973
Tennessee,4474025,1849791,1139364,3050355,710427,71.03001682446703,22.518521638089833,48.51149518637722
Texas,12256516,5872091,5215753,11260098,656338,188.9268570480719,62.2648952291985,126.66196181887325
Utah,1421841,743508,475513,1276299,267995,20.946425439748865,7.134448835012537,13.811976604736326
Vermont,700196,111131,227231,350178,-116100,4.944490496154125,8.574735333131416,-3.630244836977292
Virginia,6818111,1953847,2380862,4406810,-427015,73.72668316079913,57.35680451901466,16.369878641784467
Washington,2068521,1498301,2286324,3892806,-788023,20.273435914124008,17.686064432140327,2.5873714819836864
West Virginia,2973025,589848,259193,864488,330655,40.72638160370846,13.398397713468162,27.327983890240294
Wisconsin,3965119,1610030,1630569,3297473,-20539,40.62344632058885,30.222847345729306,10.400598974859536
Wyoming,1288529,193454,73445,276528,120009,17.274463687293533,5.007976058222445,12.266487629071088
